Game,Name,Type,Weapon ID,Class ID,Accuracy,Damage,Range,Fire Rate,Mobility,Control
MW,CR-56 AMAX,Meta,1,1,240,225,264,198,144,207
MW,GRAU 5.56,Meta,2,1,246,216,243,210,135,207
MW,MP5,Meta,3,2,222,156,177,225,211,222
MW,FENNEC,Meta,4,2,243,144,171,246,189,231
MW,KAR 98K,Meta,5,3,258,246,279,117,141,198
CW,MAC-10,Meta,6,4,183,162,156,249,237,243
CW,FFAR 1,Meta,7,5,213,219,219,249,138,210
CW,AUG,Meta,8,6,225,222,186,216,156,192
CW,LW3 - TUNDRA,Meta,9,7,261,264,282,117,132,195
CW,BULLFROG,Meta,10,8,201,177,180,189,213,228
CW,STONER 63,Meta,11,9,237,261,255,210,150,201
CW,GALLO SA12,Meta,12,10,171,243,141,147,213,237
